Date,Year,Month,Value,,
192907,1929,7,-0.05,,
192908,1929,8,-0.31,,
192909,1929,9,0.73,,
192910,1929,10,0.96,,
192911,1929,11,0.63,,
192912,1929,12,1.44,,
193001,1930,1,0.83,,
193002,1930,2,0.51,,
193003,1930,3,-0.01,,
193004,1930,4,0.15,,
193005,1930,5,-0.12,,
193006,1930,6,0.17,,
193007,1930,7,0.12,,
193008,1930,8,-0.33,,
193009,1930,9,0.27,,
193010,1930,10,-0.13,,
193011,1930,11,-0.23,,
193012,1930,12,0.52,,
193101,1931,1,0.72,,
193102,1931,2,0.9,,
193103,1931,3,0.89,,
193104,1931,4,1.59,,
193105,1931,5,1.95,,
193106,1931,6,1.96,,
193107,1931,7,2.01,,
193108,1931,8,0.75,,
193109,1931,9,0.62,,
193110,1931,10,-0.17,,
193111,1931,11,-0.35,,
193112,1931,12,-1.15,,
193201,1932,1,-1.41,,
193202,1932,2,-1.99,,
193203,1932,3,-1.16,,
193204,1932,4,0.19,,
193205,1932,5,-0.04,,
193206,1932,6,-0.04,,
193207,1932,7,-0.2,,
193208,1932,8,-0.48,,
193209,1932,9,-1.24,,
193210,1932,10,-0.25,,
193211,1932,11,-0.38,,
193212,1932,12,-0.14,,
193301,1933,1,-0.92,,
193302,1933,2,-1.26,,
193303,1933,3,-1.15,,
