County,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sauk,0.59,0.72,0.65,0.68,0.77,0.79,0.87,0.89,0.8,0.7,0.66,0.76,0.72,0.52,0.64,0.8,0.76,0.49,0.4,0.35,0.31,0.33,0.28,0.27,0.26,0.29,0.24,0.33,0.32
Sawyer,0.17,0.26,0.27,0.16,0.25,0.19,0.25,0.14,0.11,0.18,0.11,0.21,0.2,0.2,0.19,0.16,0.1,0.11,0.16,0.19,0.2,0.19,0.15,0.18,0.08,0.16,0.12,0.11,0.14
Shawano,0.94,1.12,1.26,1.23,1.34,1.09,1.07,1.24,0.89,0.88,1.13,1.62,1.81,1.86,1.81,1.47,1.41,1.2,1.17,1.22,1.03,1.1,1.21,1.25,1.24,1.21,1.15,1.21,0.96
Sheboygon,0.36,0.46,0.46,0.56,0.55,0.7,0.68,0.76,0.67,0.61,0.56,0.63,0.59,0.56,0.57,0.64,0.6,0.56,0.55,0.59,0.49,0.54,0.55,0.6,0.57,0.43,0.42,0.47,0.61
Taylor,1.28,0.85,1.17,0.94,0.98,0.92,1.12,1.28,0.97,1.29,1.3,1.65,1.5,1.64,1.75,1.46,1.09,1.1,1.12,1.05,1.01,1.1,1.01,0.79,0.98,0.48,0.63,0.64,1.00
Trempealeau,0.86,0.97,1.22,1.06,1.16,1.14,0.08,0.05,0.06,0.03,0.04,0.05,0.07,0.06,0.07,0.12,0.08,0.07,0.06,0.06,0.06,0.11,0.13,0.21,0.2,0.16,0.17,0.15,0.17
Vernon,0.28,0.34,0.44,0.34,0.41,0.61,0.73,0.84,0.62,0.69,0.67,0.77,0.9,0.84,0.88,1.11,1.11,0.95,1.05,1.13,0.99,1.09,1.22,1.1,1.12,0.88,0.7,1.14,1.19
Vilas,0.58,0.55,0.61,0.51,0.37,0.53,0.42,0.48,0.38,0.41,0.43,0.34,0.49,0.47,0.5,0.46,0.34,0.59,0.41,0.38,0.43,0.39,0.48,0.47,0.46,0.46,0.35,0.42,0.56
Walworth,0.22,0.23,0.27,0.28,0.27,0.33,0.37,0.27,0.29,0.25,0.22,0.26,0.22,0.24,0.26,0.25,0.23,0.2,0.19,0.25,0.25,0.25,0.25,0.24,0.28,0.26,0.25,0.27,0.26
Washburn,0.26,0.22,0.35,0.15,0.14,0.17,0.18,0.28,0.23,0.33,0.33,0.27,0.27,0.41,0.35,0.44,0.44,0.33,0.34,0.29,0.28,0.34,0.34,0.28,0.3,0.25,0.23,0.24,0.43
Washington,0.24,0.31,0.37,0.34,0.4,0.44,0.43,0.44,0.4,0.38,0.33,0.37,0.32,0.28,0.29,0.36,0.36,0.34,0.35,0.4,0.34,0.36,0.36,0.44,0.46,0.48,0.46,0.53,0.49
Waukesha,0.16,0.2,0.2,0.22,0.25,0.25,0.25,0.25,0.23,0.2,0.17,0.17,0.17,0.16,0.16,0.2,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.17,0.18,0.21,0.18,0.21,0.22
Waupaca,1.37,1.4,1.24,1.19,1.23,1.36,1.53,1.58,1.34,1.28,1.29,1.34,1.24,1.28,1.38,1.46,1.4,1.23,1.17,1.12,0.99,0.89,0.96,1.09,0.96,1.08,0.94,1.17,1.09
Waushara,1.33,1.43,1.31,1.16,1.28,1.33,1.31,1.19,0.75,0.64,0.63,0.7,0.65,0.76,0.66,0.7,1.33,1.12,1.1,0.93,0.89,0.83,0.76,0.87,0.82,0.75,0.8,0.73,0.92
Winnebago,0.23,0.22,0.27,0.23,0.28,0.3,0.33,0.29,0.32,0.23,0.23,0.3,0.32,0.39,0.38,0.35,0.34,0.31,0.35,0.32,0.31,0.27,0.3,0.33,0.33,0.32,0.28,0.29,0.25
Wood,0.52,0.63,0.75,0.68,0.66,0.7,0.67,0.67,0.13,0.14,0.1,0.11,0.12,0.08,0.09,0.1,0.09,0.12,0.11,0.13,0.16,0.16,0.14,0.11,0.19,0.17,0.17,0.21,0.18
